GSSCode,borough,medianAnnualSalary,veryBadHealth,peopleSmoking,unemp_never_worked,noQualifications,population,livebirths
E09000002,Barking and Dagenham,63000,1.7,11.3,28236,36796,221495,3255
E09000003,Barnet,32482,1.2,10.5,41107,47762,411275,4780
E09000004,Bexley,34800,1.1,12.8,20228,35582,256845,2837
E09000005,Brent,29194,1.4,8.2,47370,59770,346437,4427
E09000006,Bromley,33633,0.9,8.9,23070,36581,339466,3728
E09000007,Camden,34432,1.6,6.6,27328,20948,259344,2317
E09000001,City of London,41262,0.7,18.3,733,529,8164,0
E09000008,Croydon,34911,1.2,12.9,38272,49877,403461,5001
E09000009,Ealing,32213,1.3,10.3,46928,52925,369685,4397
E09000010,Enfield,30808,1.4,18.5,43133,57813,346635,3936
E09000011,Greenwich,34429,1.5,11.5,29664,38319,294837,3906
E09000012,Hackney,39181,2.2,14.2,31596,35043,292023,3971
E09000013,Hammersmith and Fulham,39419,1.5,10.8,18650,18332,195981,2146
E09000014,Haringey,32485,1.7,9.5,30349,39921,291330,3376
E09000015,Harrow,33811,1.1,7.6,30623,36454,263484,3312
E09000016,Havering,31985,1.1,10.3,22008,41947,265930,3057
E09000017,Hillingdon,34530,1.1,11.1,34418,43906,319467,4061
E09000018,Hounslow,37940,1.3,11.6,32974,42630,286947,3678
E09000019,Islington,41946,2.1,11.5,24162,25257,244372,2657
E09000020,Kensington and Chelsea,33779,1.2,14.4,18619,13971,161552,1455
E09000021,Kingston upon Thames,35713,0.9,10.5,13764,16128,184660,1849
E09000022,Lambeth,35700,1.5,12.4,29047,35185,342250,3554
E09000023,Lewisham,33457,1.4,12.2,28635,35447,320574,4024
E09000024,Merton,34210,1,12.8,18123,24609,214740,2739
E09000025,Newham,36668,2,13.9,54952,57151,366943,5346
E09000026,Redbridge,31034,1.3,11.8,40547,41948,316288,4275
E09000027,Richmond upon Thames,35651,0.8,8.2,12608,14163,203312,2120
E09000028,Southwark,41234,1.6,12,31262,35516,332679,3525
E09000029,Sutton,30763,1,12.1,16487,25122,213340,2347
E09000030,Tower Hamlets,47945,2.5,12,46215,40999,331620,4381
E09000031,Waltham Forest,31997,1.5,9,30614,40535,292788,4136
E09000032,Wandsworth,33499,1.1,13.3,24998,27202,337783,4198
E09000033,Westminster,45000,1.8,11.8,30007,22882,262317,2110
