Borough,Total_2021
Barking and Dagenham,1622
Barnet,1117
Bexley,925
Brent,2007
Bromley,1149
Camden,1393
Croydon,2317
Ealing,1684
Enfield,1199
Greenwich,1755
Hackney,1629
Hammersmith and Fulham,1090
Haringey,1180
Harrow,959
Havering,976
Hillingdon,1531
Hounslow,1342
Islington,1199
Kensington and Chelsea,1120
Kingston upon Thames,986
Lambeth,2318
Lewisham,1533
London Heathrow and London City Airports,30
Merton,658
Newham,2300
Redbridge,1365
Richmond upon Thames,409
Southwark,2308
Sutton,615
Tower Hamlets,2659
Waltham Forest,1497
Wandsworth,1113
Westminster,2982
