local authority name,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
Barking and Dagenham,218866,67558,1191,189,854,28514,1549,2376,2984,2418,22382,1378,11482,15789,5514,35093,5840,5867,1493,6395
Barnet,389401,140792,7629,178,1557,74620,6055,3766,3495,7612,2887,9395,30397,6708,25591,22651,4946,3026,7374,30722
Bexley,246520,158871,2523,619,312,14863,2178,1734,2493,2354,1777,4002,10909,1399,6354,23241,3236,3576,534,5545
Brent,339889,51629,9302,236,2508,54017,3627,3186,3787,6701,2166,3397,66167,15199,24570,31088,21266,7178,17921,15944
Bromley,329936,219488,4962,575,553,26704,4729,2436,5506,5059,1747,5088,12311,1780,6381,13208,8142,3788,1207,6272
Camden,210165,74343,5330,134,988,44295,4251,2071,2562,5084,14371,6720,6933,1603,8389,14206,2686,1992,4412,9795
City of London,8584,3652,186,0,62,2065,173,50,56,188,283,544,322,32,259,150,54,26,113,369
Croydon,390697,146256,4914,213,1114,36436,5742,4463,10352,9186,3549,3914,29562,15346,16118,40228,36094,12102,2272,12836
Ealing,367183,89263,8526,251,1433,59008,5478,2435,4595,6657,3677,4540,54822,16715,31523,22590,12893,4018,16098,22661
Enfield,329914,103123,5968,372,1121,61268,3820,2999,5160,7584,8132,2679,11881,3650,11607,36462,16996,7033,2534,37525
Greenwich,289085,119678,4250,386,894,35847,3458,3287,5137,5378,2389,7130,10132,3555,14833,44196,8722,7691,1455,10667
Hackney,259124,87919,5579,245,864,43107,3692,2732,4756,6332,6552,3452,8815,2465,5588,29480,17896,7240,2343,20067
Hammersmith and Fulham,183179,70095,4809,95,1480,39164,3123,1788,3156,4265,1276,4242,4091,2001,7665,13257,6653,2615,5523,7881
Haringey,264420,84309,5711,228,2016,58358,3946,2551,5345,6735,4847,3861,5851,2156,6419,24865,16339,5300,2545,23038
Harrow,261249,53565,5595,175,1418,34455,3151,1080,2176,3394,1824,2781,74741,10278,28558,10595,6533,2067,6238,12625
Havering,262055,174252,2903,256,432,19521,2342,1526,3208,2634,4779,2003,11288,5678,4400,14136,4816,2596,804,4481
Hillingdon,305942,113355,5592,480,692,27230,4204,1900,3144,4148,4055,3191,57367,14233,23136,15827,5745,2378,4463,14802
Hounslow,288159,81945,3886,299,980,39965,4112,2153,2717,4511,2698,2678,60829,17443,22191,14891,3574,2341,5476,15470
Islington,216550,86101,7077,107,963,40507,3748,2256,4166,6060,5967,5128,4042,996,5396,18064,7359,3283,2999,12331
Kensington and Chelsea,143321,46875,2811,82,1042,40574,3052,1284,1713,3468,1483,3829,3215,1276,7212,6944,3231,1103,6358,7769
Kingston upon Thames,167981,90262,2636,63,436,21395,3550,1096,1552,2804,939,4118,7729,4391,12769,3093,1083,537,3569,5959
Lambeth,317713,119410,6825,142,1563,46881,4525,4028,8345,8725,2505,5022,6060,3865,5623,37360,28996,9789,2635,15414
Lewisham,300453,111717,5038,114,1035,36808,4340,3775,8719,7384,1830,6301,5044,2345,11401,37844,31889,10730,1668,12471
Merton,215220,88662,4332,188,826,35602,3754,1716,3018,4290,2478,3612,9637,9652,14655,12217,7636,3043,1919,7983
Newham,350985,51799,2046,354,2344,51404,3324,3326,4243,5530,55699,6218,38622,31217,16429,40885,13547,6843,3541,13614
Redbridge,310353,71874,3102,185,1087,31764,3565,1714,3145,4301,31893,2923,51198,43992,16835,14609,8482,3062,2260,14362
Richmond upon Thames,195301,123085,4866,86,401,28644,4233,1196,1657,3570,915,2789,7248,1766,4803,2265,950,487,1714,4626
Southwark,307659,109247,6029,153,1592,41208,4647,3587,6409,7528,5548,8390,6136,2012,8437,48325,18155,10817,3139,16300
Sutton,209662,120043,3117,129,334,19569,3069,1282,2766,3030,1783,3983,12611,6191,12212,7436,3447,1587,1393,5680
Tower Hamlets,310184,71175,3551,113,2218,45193,4361,2218,3588,5155,107335,10295,10109,3338,6759,15383,4914,2390,3588,8501
Waltham Forest,278460,94769,4236,198,1403,46449,3900,2782,5161,6188,5153,2629,9111,28745,9878,18764,17579,5293,2867,13355
Wandsworth,327409,157030,8053,121,1720,55122,5790,2510,5339,6999,1642,4657,9593,12262,10143,17320,11347,4339,3847,9575
Westminster,204249,57201,3720,48,1519,50264,3732,2103,2067,5458,7520,6601,7972,2476,9661,10456,4305,1703,15432,12011
