Borough,Male_Weekly_Pay,Female_Weekly_Pay
Barking and Dagenham,14806.00,15865.00
Barnet,21656.00,21953.00
Bexley,9529.00,11561.00
Brent,25403.00,22529.00
Bromley,17577.00,17794.00
Camden,31282.00,23209.00
Croydon,26247.00,26007.00
Ealing,26425.00,23196.00
Enfield,18796.00,23678.00
Greenwich,17748.00,20851.00
Hackney,23415.00,25643.00
Hammersmith and Fulham,19666.00,16698.00
Haringey,20960.00,23918.00
Harrow,11095.00,12673.00
Havering,14229.00,13559.00
Hillingdon,19266.00,18667.00
Hounslow,19238.00,18808.00
Islington,22926.00,20333.00
Kensington and Chelsea,17827.00,15271.00
Kingston upon Thames,9034.00,9302.00
Lambeth,30630.00,25523.00
Lewisham,21986.00,21068.00
Merton,11568.00,10155.00
Newham,26052.00,27777.00
Redbridge,20425.00,19752.00
Richmond upon Thames,9472.00,8828.00
Southwark,28891.00,26245.00
Sutton,9498.00,10234.00
Tower Hamlets,24106.00,26808.00
Waltham Forest,21051.00,18253.00
Wandsworth,19251.00,20589.00
Westminster,58836.00,42899.00
