Borough,price,pay,councilHouse,unemp_12_months,unemp_never_worked,noQualifications,population,GSSCode
Barking and Dagenham,340000,523.5,18077,28678,28236,36796,221495,E09000002
Barnet,575500,574.9,10030,63342,41107,47762,411275,E09000003
Bexley,390750,584.8,2491,47214,20228,35582,256845,E09000004
Brent,525000,553.1,10444,48297,47370,59770,346437,E09000005
Bromley,492500,653,2090,67099,23070,36581,339466,E09000006
Camden,765000,694.2,21051,34511,27328,20948,259344,E09000007
City of London,770000,1138,449,1412,733,529,8164,E09000001
Croydon,410000,613.3,14769,64606,38272,49877,403461,E09000008
Ealing,522000,574.9,11326,54181,46928,52925,369685,E09000009
Enfield,460000,507.9,12530,54454,43133,57813,346635,E09000010
Greenwich,445000,618.9,21257,42785,29664,38319,294837,E09000011
Hackney,590000,575.1,21943,30710,31596,35043,292023,E09000012
Hammersmith and Fulham,780000,714.5,11840,27259,18650,18332,195981,E09000013
Haringey,550000,542.6,15630,36838,30349,39921,291330,E09000014
Harrow,535000,577.5,4977,42238,30623,36454,263484,E09000015
Havering,405000,584.6,9423,52153,22008,41947,265930,E09000016
Hillingdon,458000,586,10179,49255,34418,43906,319467,E09000017
Hounslow,460000,564.6,13251,42007,32974,42630,286947,E09000018
Islington,648750,665.6,24081,32049,24162,25257,244372,E09000019
Kensington and Chelsea,1250000,767,7154,27076,18619,13971,161552,E09000020
Kingston upon Thames,525000,667.8,4647,29152,13764,16128,184660,E09000021
Lambeth,557500,673.6,24126,40140,29047,35185,342250,E09000022
Lewisham,460000,574.9,16045,42205,28635,35447,320574,E09000023
Merton,545000,586.3,2342,32938,18123,24609,214740,E09000024
Newham,430000,567.4,17989,38773,54952,57151,366943,E09000025
Redbridge,490000,581.9,6604,45720,40547,41948,316288,E09000026
Richmond upon Thames,715000,699.5,1829,36926,12608,14163,203312,E09000027
Southwark,550000,631.9,35433,39864,31262,35516,332679,E09000028
Sutton,430000,565.8,5399,36539,16487,25122,213340,E09000029
Tower Hamlets,570830,680.3,16697,33691,46215,40999,331620,E09000030
Waltham Forest,500000,624.7,10737,38003,30614,40535,292788,E09000031
Wandsworth,656177,746.7,16653,42978,24998,27202,337783,E09000032
Westminster,900000,771.6,12418,33356,30007,22882,262317,E09000033
